t build_seconds sweep_seconds
1 9.2920000000000001e-06 4.1875000000000001e-05
2 5.2499999999999997e-06 3.1334000000000002e-05
3 4.8330000000000001e-06 3.1167000000000002e-05
4 4.3749999999999996e-06 3.0791999999999999e-05
5 5.1250000000000001e-06 2.8625000000000001e-05
6 5.0409999999999997e-06 3.8000000000000002e-05
7 4.6249999999999998e-06 3.2540999999999999e-05
8 6.4169999999999997e-06 2.9708000000000001e-05
9 4.5000000000000001e-06 2.7500000000000001e-05
10 4.3749999999999996e-06 2.8167e-05
11 4.4580000000000003e-06 2.7792000000000001e-05
12 4.5410000000000002e-06 2.8500000000000002e-05
13 4.4170000000000002e-06 2.9499999999999999e-05
14 4.5419999999999999e-06 2.8625000000000001e-05
15 4.6249999999999998e-06 2.8459e-05
16 4.3329999999999998e-06 2.7792000000000001e-05
17 4.25e-06 3.1250000000000001e-05
18 4.3749999999999996e-06 3.0000000000000001e-05
19 4.4170000000000002e-06 3.0499999999999999e-05
20 4.5000000000000001e-06 3.0542e-05
21 4.3749999999999996e-06 3.1832999999999998e-05
22 4.4580000000000003e-06 2.8875000000000001e-05
23 4.3749999999999996e-06 2.9584e-05
24 4.3749999999999996e-06 3.3958999999999998e-05
25 4.25e-06 2.9916999999999998e-05
26 4.25e-06 3.0834000000000003e-05
27 4.2919999999999997e-06 3.2375000000000001e-05
28 4.2919999999999997e-06 3.1415999999999999e-05
29 4.25e-06 3.2166999999999999e-05
30 4.25e-06 3.1917e-05
31 4.1659999999999996e-06 3.2874999999999999e-05
32 4.2919999999999997e-06 3.1000000000000001e-05
33 4.3749999999999996e-06 3.3124999999999999e-05
34 4.3749999999999996e-06 3.7042000000000002e-05
35 4.4170000000000002e-06 3.4875000000000001e-05
36 4.3749999999999996e-06 3.4582999999999997e-05
37 4.4580000000000003e-06 3.4125000000000003e-05
38 4.2910000000000001e-06 3.3334000000000003e-05
39 4.459e-06 4.0333999999999997e-05
40 1.0791999999999999e-05 5.9707999999999998e-05
41 4.4170000000000002e-06 3.9332999999999998e-05
42 4.5000000000000001e-06 3.5374999999999999e-05
43 4.4580000000000003e-06 3.4125000000000003e-05
44 4.5000000000000001e-06 3.3083000000000002e-05
45 4.4170000000000002e-06 3.3541000000000003e-05
46 4.4159999999999997e-06 3.4833999999999999e-05
47 4.5000000000000001e-06 3.4792000000000002e-05
48 4.4170000000000002e-06 3.4625000000000001e-05
49 4.25e-06 3.1958000000000001e-05
50 4.3329999999999998e-06 3.0332999999999999e-05
51 4.5000000000000001e-06 6.7832999999999999e-05
52 4.6670000000000004e-06 3.5874999999999998e-05
53 4.6670000000000004e-06 3.4332999999999998e-05
54 4.5839999999999996e-06 3.6625000000000003e-05
55 4.3340000000000003e-06 3.2459000000000002e-05
56 4.4580000000000003e-06 3.2874999999999999e-05
57 4.3340000000000003e-06 3.3541999999999998e-05
58 4.3749999999999996e-06 3.4792000000000002e-05
59 4.4170000000000002e-06 3.2583000000000003e-05
60 4.6249999999999998e-06 3.3250000000000002e-05
61 4.4580000000000003e-06 4.0750000000000001e-05
62 4.4159999999999997e-06 3.6875000000000002e-05
63 4.5000000000000001e-06 3.2166999999999999e-05
64 4.5000000000000001e-06 3.4e-05
65 4.4170000000000002e-06 3.3791000000000002e-05
66 4.6249999999999998e-06 3.4708e-05
67 4.5000000000000001e-06 3.7709000000000001e-05
68 4.5419999999999999e-06 3.5457999999999998e-05
69 4.3340000000000003e-06 3.4082999999999999e-05
70 4.3749999999999996e-06 3.4375000000000002e-05
71 4.4580000000000003e-06 3.6041999999999998e-05
72 4.3749999999999996e-06 3.3374999999999998e-05
73 4.4170000000000002e-06 3.3624999999999997e-05
74 4.4170000000000002e-06 3.5916e-05
75 4.2919999999999997e-06 3.4832999999999997e-05
76 4.2919999999999997e-06 3.4708e-05
77 4.4170000000000002e-06 3.4332999999999998e-05
78 4.459e-06 3.6000000000000001e-05
79 4.2080000000000002e-06 3.6458000000000002e-05
80 4.25e-06 3.6792000000000003e-05
81 4.25e-06 3.3083000000000002e-05
82 4.2919999999999997e-06 3.7208e-05
83 4.4159999999999997e-06 3.5542e-05
84 6.2090000000000002e-06 3.7416000000000002e-05
85 4.4580000000000003e-06 3.6667e-05
86 4.3749999999999996e-06 3.3541000000000003e-05
87 4.3329999999999998e-06 3.4292000000000003e-05
88 4.4580000000000003e-06 3.4499999999999998e-05
89 4.4580000000000003e-06 3.7042000000000002e-05
90 4.3749999999999996e-06 3.3083000000000002e-05
91 4.4159999999999997e-06 3.4666999999999999e-05
92 4.2919999999999997e-06 3.4e-05
93 4.4170000000000002e-06 3.5250000000000003e-05
94 4.5000000000000001e-06 3.65e-05
95 4.3749999999999996e-06 3.6124999999999997e-05
96 4.2919999999999997e-06 3.7333000000000003e-05
97 4.3749999999999996e-06 3.5083000000000003e-05
98 4.5000000000000001e-06 3.3791999999999998e-05
99 4.4170000000000002e-06 3.6291000000000002e-05
100 4.4580000000000003e-06 3.6332999999999999e-05
101 4.3749999999999996e-06 3.3665999999999999e-05
102 4.459e-06 3.5791999999999999e-05
103 4.5000000000000001e-06 3.5042000000000001e-05
104 4.4170000000000002e-06 3.5292e-05
105 4.4580000000000003e-06 3.5791999999999999e-05
106 4.3749999999999996e-06 3.7707999999999999e-05
107 4.4159999999999997e-06 3.7625e-05
108 4.3329999999999998e-06 3.5583000000000001e-05
109 4.25e-06 3.5750000000000002e-05
110 4.4580000000000003e-06 3.7583999999999998e-05
111 4.4580000000000003e-06 3.4666000000000003e-05
112 4.4159999999999997e-06 3.7125000000000001e-05
113 4.3340000000000003e-06 3.6124999999999997e-05
114 4.2910000000000001e-06 3.4249999999999999e-05
115 4.3329999999999998e-06 3.3874999999999997e-05
116 4.5000000000000001e-06 3.3457999999999997e-05
117 4.3329999999999998e-06 3.6875000000000002e-05
118 4.1250000000000003e-06 3.6958000000000001e-05
119 4.0409999999999999e-06 3.2625e-05
120 4.0419999999999996e-06 3.0540999999999998e-05
121 4.0419999999999996e-06 3.2666999999999997e-05
122 4.1670000000000001e-06 3.5542e-05
123 4.3329999999999998e-06 4.1709000000000003e-05
124 5.4999999999999999e-06 4.1208000000000003e-05
125 4.6249999999999998e-06 3.9916999999999997e-05
126 4.4580000000000003e-06 3.5583000000000001e-05
127 4.5419999999999999e-06 3.7125000000000001e-05
128 4.5000000000000001e-06 3.8334000000000003e-05
129 4.3749999999999996e-06 3.4749999999999998e-05
130 4.4580000000000003e-06 3.7166999999999998e-05
131 4.3329999999999998e-06 3.3874999999999997e-05
132 4.6249999999999998e-06 3.7375e-05
133 4.5000000000000001e-06 3.9292000000000003e-05
134 4.3329999999999998e-06 3.8834000000000001e-05
135 4.3749999999999996e-06 3.9332999999999998e-05
136 4.2919999999999997e-06 3.6332999999999999e-05
137 4.3749999999999996e-06 3.9249999999999999e-05
138 4.4580000000000003e-06 3.8583e-05
139 4.4580000000000003e-06 3.9042000000000003e-05
140 4.459e-06 4.0207999999999999e-05
141 4.4580000000000003e-06 3.7709000000000001e-05
142 4.2089999999999999e-06 3.3958999999999998e-05
143 5.2499999999999997e-06 3.875e-05
144 5.4589999999999997e-06 3.6332999999999999e-05
145 4.5419999999999999e-06 4.0125e-05
146 4.3329999999999998e-06 4.3541000000000002e-05
147 4.3749999999999996e-06 4.2666000000000001e-05
148 4.5419999999999999e-06 4.0666e-05
149 4.2089999999999999e-06 3.8124999999999998e-05
150 4.2089999999999999e-06 3.7125000000000001e-05
151 4.3329999999999998e-06 4.0708999999999999e-05
152 4.5000000000000001e-06 4.3334000000000002e-05
153 2.4332999999999999e-05 3.7125000000000001e-05
154 4.5000000000000001e-06 5.5166e-05
155 4.3329999999999998e-06 3.5624999999999999e-05
156 4.2919999999999997e-06 4.1916999999999999e-05
157 4.4159999999999997e-06 4.2292000000000001e-05
158 4.4170000000000002e-06 4.2917000000000003e-05
159 4.4170000000000002e-06 4.1375000000000003e-05
160 4.5419999999999999e-06 4.2500000000000003e-05
161 4.583e-06 3.8124999999999998e-05
162 4.4580000000000003e-06 3.9249999999999999e-05
163 4.4170000000000002e-06 3.7375e-05
164 4.4170000000000002e-06 4.35e-05
165 4.4170000000000002e-06 4.0083000000000002e-05
166 4.25e-06 4.1791e-05
167 4.4580000000000003e-06 4.1625000000000002e-05
168 4.2919999999999997e-06 3.9666999999999998e-05
169 4.2910000000000001e-06 4.2542e-05
170 4.3329999999999998e-06 3.8334000000000003e-05
171 4.3340000000000003e-06 4.1375000000000003e-05
172 4.3749999999999996e-06 4.1749999999999998e-05
173 4.4159999999999997e-06 3.9749999999999997e-05
174 4.5410000000000002e-06 4.3458999999999998e-05
175 4.3329999999999998e-06 3.9792000000000001e-05
176 4.3329999999999998e-06 4.2624999999999999e-05
177 4.3749999999999996e-06 3.8999999999999999e-05
178 4.5839999999999996e-06 4.0374999999999999e-05
179 4.5000000000000001e-06 3.5957999999999997e-05
180 4.25e-06 3.5583000000000001e-05
181 4.2919999999999997e-06 3.8083000000000001e-05
182 4.2080000000000002e-06 3.6792000000000003e-05
183 4.0409999999999999e-06 3.7209000000000002e-05
184 4.2089999999999999e-06 3.9458000000000001e-05
185 4.6659999999999999e-06 4.3417000000000001e-05
186 4.3340000000000003e-06 4.2500000000000003e-05
187 4.2089999999999999e-06 3.7583000000000003e-05
188 4.2919999999999997e-06 4.0290999999999998e-05
189 4.3340000000000003e-06 4.0750000000000001e-05
190 4.3749999999999996e-06 4.125e-05
191 4.2919999999999997e-06 3.9458000000000001e-05
192 4.25e-06 4.3625000000000003e-05
193 4.25e-06 4.1375000000000003e-05
194 4.1670000000000001e-06 4.2125000000000001e-05
195 4.2919999999999997e-06 4.0750000000000001e-05
196 4.2910000000000001e-06 4.1916999999999999e-05
197 4.2089999999999999e-06 4.1e-05
198 4.2919999999999997e-06 4.6417e-05
199 4.2919999999999997e-06 3.7750000000000003e-05
200 4.3749999999999996e-06 4.3374999999999997e-05
201 4.4170000000000002e-06 4.2166000000000003e-05
202 4.25e-06 3.9957999999999999e-05
203 4.4580000000000003e-06 4.0917000000000001e-05
204 4.4170000000000002e-06 3.9875e-05
205 4.2919999999999997e-06 3.9208000000000001e-05
206 4.25e-06 4.4833000000000003e-05
207 4.5000000000000001e-06 4.2750000000000002e-05
208 4.2919999999999997e-06 4.0374999999999999e-05
209 4.3329999999999998e-06 4.5167000000000003e-05
