t build_seconds sweep_seconds
1 1.5417000000000002e-05 0.00014595799999999999
2 1.1459e-05 6.8916000000000002e-05
3 8.7080000000000003e-06 6.0832999999999998e-05
4 8.4169999999999992e-06 5.0457999999999997e-05
5 8.6249999999999996e-06 5.1792000000000002e-05
6 8.2919999999999996e-06 5.2500000000000002e-05
7 7.7910000000000005e-06 5.2541999999999999e-05
8 7.9999999999999996e-06 5.6375000000000001e-05
9 1.0458999999999999e-05 5.6082999999999998e-05
10 9.0420000000000008e-06 7.7041999999999999e-05
11 1.0292000000000001e-05 9.0708e-05
12 9.2920000000000001e-06 6.1416999999999998e-05
13 9.0000000000000002e-06 5.6666999999999998e-05
14 8.7909999999999993e-06 5.6916999999999997e-05
15 8.2500000000000006e-06 5.5834000000000001e-05
16 8.4169999999999992e-06 5.3417e-05
17 8.4169999999999992e-06 0.000107959
18 8.8750000000000006e-06 8.1916999999999995e-05
19 8.1669999999999999e-06 6.5208000000000003e-05
20 8.2910000000000007e-06 5.5999999999999999e-05
21 8.3329999999999997e-06 5.7874999999999997e-05
22 7.7090000000000002e-06 5.5667000000000001e-05
23 7.5000000000000002e-06 5.3499999999999999e-05
24 7.6669999999999996e-06 5.3499999999999999e-05
25 7.7500000000000003e-06 5.3959000000000003e-05
26 7.5000000000000002e-06 7.5375000000000003e-05
27 7.7919999999999993e-06 6.3374999999999995e-05
28 7.3749999999999997e-06 7.1625000000000006e-05
29 7.5000000000000002e-06 5.6666999999999998e-05
30 7.2919999999999998e-06 5.5000000000000002e-05
31 7.6669999999999996e-06 5.5665999999999999e-05
32 7.2919999999999998e-06 5.4790999999999998e-05
33 7.25e-06 5.7667000000000002e-05
34 7.1250000000000004e-06 6.0708000000000002e-05
35 7.1250000000000004e-06 5.5458000000000003e-05
36 7.3749999999999997e-06 5.6625000000000001e-05
37 7.1659999999999997e-06 5.3582999999999998e-05
38 7.2919999999999998e-06 5.5417000000000002e-05
39 7.3329999999999999e-06 5.7250000000000002e-05
40 7.1670000000000002e-06 5.2916e-05
41 7.0829999999999998e-06 5.3458000000000002e-05
42 7.4580000000000004e-06 5.9292000000000001e-05
43 7.5000000000000002e-06 5.6416000000000003e-05
44 7.4159999999999998e-06 6.0917e-05
45 7.4580000000000004e-06 5.9375e-05
46 7.25e-06 9.2374999999999996e-05
47 1.0292000000000001e-05 0.00010950000000000001
48 2.0584000000000001e-05 9.0375000000000001e-05
49 2.1875e-05 0.000102
50 1.0042e-05 0.000108083
51 9.2080000000000006e-06 7.2374999999999997e-05
52 7.5830000000000001e-06 6.7040999999999997e-05
53 7.6669999999999996e-06 6.0708000000000002e-05
54 7.6249999999999998e-06 0.000106833
55 8.1659999999999994e-06 7.5875000000000001e-05
56 7.9170000000000006e-06 6.5667000000000007e-05
57 7.9999999999999996e-06 6.7541999999999998e-05
58 7.8339999999999999e-06 5.8167000000000001e-05
59 1.2167000000000001e-05 5.6208000000000001e-05
60 7.6249999999999998e-06 6.4957999999999997e-05
61 7.3339999999999996e-06 5.7000000000000003e-05
62 7.5839999999999997e-06 5.9916e-05
63 7.542e-06 6.3707999999999994e-05
64 7.7079999999999997e-06 6.7207999999999998e-05
65 7.542e-06 6.4832999999999994e-05
66 7.5000000000000002e-06 6.1500000000000004e-05
67 7.7079999999999997e-06 6.4750000000000002e-05
68 7.7090000000000002e-06 6.4166999999999997e-05
69 7.4590000000000001e-06 6.2707999999999997e-05
70 7.4170000000000003e-06 6.4166999999999997e-05
71 7.0840000000000003e-06 6.7625000000000004e-05
72 7.5410000000000003e-06 7.1249999999999997e-05
73 7.542e-06 6.3665999999999997e-05
74 7.7500000000000003e-06 7.5958999999999996e-05
75 6.5830000000000003e-06 6.5791999999999996e-05
76 6.3330000000000002e-06 5.8165999999999998e-05
77 6.5830000000000003e-06 5.575e-05
78 6.2500000000000003e-06 5.8542000000000003e-05
79 6.3749999999999999e-06 6.1416999999999998e-05
80 6.1249999999999998e-06 5.2667000000000002e-05
81 6.7089999999999996e-06 5.5374999999999998e-05
82 6.6669999999999999e-06 6.4250000000000003e-05
83 6.6660000000000002e-06 5.7250000000000002e-05
84 6.4999999999999996e-06 5.8125000000000003e-05
85 6.6660000000000002e-06 6.3792000000000002e-05
86 6.4169999999999997e-06 5.4292000000000001e-05
87 6.3749999999999999e-06 6.0250000000000001e-05
88 6.6250000000000001e-06 5.4625e-05
89 6.5830000000000003e-06 6.1124999999999995e-05
90 6.584e-06 5.4540999999999998e-05
91 6.3339999999999998e-06 5.3959000000000003e-05
92 1.025e-05 9.3875000000000005e-05
93 7.1250000000000004e-06 6.9208000000000006e-05
94 7.2910000000000002e-06 6.6375000000000001e-05
95 7.1250000000000004e-06 6.0541000000000002e-05
96 6.7089999999999996e-06 6.7082999999999995e-05
97 6.7089999999999996e-06 6.5083e-05
98 6.7920000000000004e-06 5.3916999999999999e-05
99 6.7499999999999997e-06 6.3707999999999994e-05
100 6.8329999999999996e-06 6.5541000000000001e-05
101 6.8340000000000001e-06 6.4832999999999994e-05
102 6.8750000000000002e-06 6.525e-05
103 6.9999999999999999e-06 6.1667000000000004e-05
104 6.917e-06 6.0999999999999999e-05
105 6.9999999999999999e-06 6.1291999999999995e-05
106 7.0419999999999997e-06 6.7000000000000002e-05
107 6.917e-06 6.5708000000000002e-05
108 6.8329999999999996e-06 7.9417000000000002e-05
109 7.2089999999999999e-06 6.8292000000000003e-05
110 6.7920000000000004e-06 5.8375000000000003e-05
111 2.0208999999999999e-05 9.3541000000000004e-05
112 7.1250000000000004e-06 6.9583000000000001e-05
113 7.1659999999999997e-06 6.7125000000000005e-05
114 6.8750000000000002e-06 6.7500000000000001e-05
115 6.9580000000000001e-06 5.9790999999999997e-05
116 6.584e-06 6.1542000000000001e-05
117 6.7920000000000004e-06 6.2125000000000006e-05
118 6.7499999999999997e-06 6.9292e-05
119 7.0419999999999997e-06 6.8499999999999998e-05
120 6.9580000000000001e-06 6.0541999999999997e-05
121 6.9999999999999999e-06 6.6666000000000002e-05
122 6.7499999999999997e-06 6.7292000000000006e-05
123 6.708e-06 6.4833999999999996e-05
124 6.5830000000000003e-06 6.2416999999999995e-05
125 6.4999999999999996e-06 5.7791000000000003e-05
126 7.0829999999999998e-06 6.1958000000000005e-05
127 6.917e-06 6.5749999999999999e-05
128 6.8329999999999996e-06 5.7624999999999998e-05
129 6.9580000000000001e-06 5.5415999999999999e-05
130 7.25e-06 5.8291999999999997e-05
131 6.8329999999999996e-06 6.0291999999999998e-05
132 7.1250000000000004e-06 6.7125000000000005e-05
133 6.9999999999999999e-06 6.3708999999999996e-05
134 6.4160000000000001e-06 0.00013100000000000001
135 7.6249999999999998e-06 8.5000000000000006e-05
136 7.5000000000000002e-06 7.8083000000000004e-05
137 7.542e-06 6.8665999999999996e-05
138 7.0840000000000003e-06 6.2707999999999997e-05
139 7.1659999999999997e-06 6.9624999999999998e-05
140 7.1250000000000004e-06 6.5833999999999993e-05
141 6.9160000000000004e-06 6.2707999999999997e-05
142 6.7909999999999999e-06 6.4750000000000002e-05
143 6.708e-06 6.2125000000000006e-05
144 6.8750000000000002e-06 7.0708000000000001e-05
145 7.0829999999999998e-06 7.0290999999999995e-05
146 6.5830000000000003e-06 6.8207999999999995e-05
147 6.7499999999999997e-06 6.5916999999999999e-05
148 6.2500000000000003e-06 6.2040999999999998e-05
149 6.1659999999999999e-06 6.1500000000000004e-05
150 6.0419999999999999e-06 5.9709e-05
151 6.0419999999999999e-06 6.3874999999999994e-05
152 5.9170000000000003e-06 8.4499999999999994e-05
153 6.2079999999999997e-06 7.0457999999999995e-05
154 6.1670000000000004e-06 6.9875000000000004e-05
155 6.2079999999999997e-06 8.2917000000000006e-05
156 6.4579999999999998e-06 6.7374999999999998e-05
157 6.3330000000000002e-06 6.1457999999999993e-05
158 6.5830000000000003e-06 6.7292000000000006e-05
159 6.1670000000000004e-06 6.1042000000000003e-05
160 6.2920000000000001e-06 6.6041e-05
161 6.2910000000000004e-06 6.8999999999999997e-05
162 6.0000000000000002e-06 6.4417000000000003e-05
163 6.2920000000000001e-06 6.0875000000000002e-05
164 6.2079999999999997e-06 5.9333999999999998e-05
165 6.1659999999999999e-06 5.7417000000000003e-05
166 6.2500000000000003e-06 6.0333e-05
167 6.6250000000000001e-06 6.2374999999999998e-05
168 6.4999999999999996e-06 6.4041000000000006e-05
