# punto (e): cada fila es un punto de la figura va vs S
# los escalares se promedian desde t_stat (elegido a ojo) hasta el final de la corrida
# el error es el desvío entre realizaciones promediado en esa misma ventana
modelo rho eta t_stat S S_err va va_err
vicsek 2 0.1 500 0.999604 0.000537456 0.999312 0.000152467
vicsek 2 0.5 500 0.992583 0.00559763 0.981176 0.00234548
vicsek 2 1 500 0.977229 0.0157105 0.927717 0.00809773
vicsek 2 1.5 500 0.974376 0.0134986 0.844589 0.0129692
vicsek 2 2 500 0.968802 0.0147063 0.736804 0.0279161
vicsek 2 2.5 500 0.941311 0.0195129 0.619931 0.026632
vicsek 2 3 500 0.932211 0.0183288 0.449511 0.0295393
vicsek 2 4 500 0.92557 0.025012 0.191703 0.0172455
vicsek 2 5 500 0.984024 0.00331224 0.0762397 0.00143327
vicsek 2 6 500 0.99313 0.00247705 0.0625346 0.00157163
vicsek 4 0.1 500 0.99999 3.15327e-05 0.999458 3.5863e-05
vicsek 4 0.5 500 0.999438 0.000473162 0.986306 0.000959856
vicsek 4 1 500 0.998462 0.00100064 0.946095 0.00297448
vicsek 4 1.5 500 0.997393 0.00111079 0.87931 0.00519503
vicsek 4 2 500 0.995673 0.00154299 0.788588 0.00974439
vicsek 4 2.5 500 0.993719 0.00354402 0.687812 0.0110053
vicsek 4 3 500 0.992704 0.00213685 0.558631 0.00760452
vicsek 4 4 500 0.989593 0.00478455 0.278734 0.0310667
vicsek 4 5 500 0.999873 8.93899e-05 0.0657907 0.00157981
vicsek 4 6 500 0.999989 2.18243e-05 0.0450601 0.00139789
vicsek 8 0.1 500 1 0 0.999532 1.00389e-05
vicsek 8 0.5 500 0.999842 0.00029909 0.988325 0.000250816
vicsek 8 1 500 0.999924 7.14434e-05 0.953092 0.000906358
vicsek 8 1.5 500 0.999786 0.000264014 0.895364 0.00095382
vicsek 8 2 500 0.999716 0.000244815 0.817858 0.00191883
vicsek 8 2.5 500 0.999622 0.000421296 0.723523 0.00273907
vicsek 8 3 500 0.999468 0.000282012 0.613731 0.00409948
vicsek 8 4 500 0.999291 0.000401238 0.354043 0.0112778
vicsek 8 5 500 0.999997 6.15684e-06 0.073496 0.00349342
vicsek 8 6 500 1 0 0.0320068 0.000876534
voter 2 0.1 3000 0.985683 0.0204844 0.920515 0.0291373
voter 2 0.5 3000 0.943723 0.0382952 0.365845 0.0713119
voter 2 1 3000 0.938163 0.0589711 0.195812 0.0209315
voter 2 1.5 3000 0.947891 0.0405048 0.14883 0.00525536
voter 2 2 3000 0.937257 0.0421226 0.111051 0.00487074
voter 2 2.5 3000 0.970272 0.0361191 0.0932991 0.00548247
voter 2 3 3000 0.975639 0.00988192 0.0829857 0.00481365
voter 2 4 3000 0.986866 0.0113466 0.0683052 0.00295783
voter 2 5 3000 0.992827 0.00493449 0.062137 0.00214716
voter 2 6 3000 0.99203 0.00319928 0.0621677 0.0019177
voter 4 0.1 3000 0.999347 0.00134725 0.87332 0.0501247
voter 4 0.5 3000 0.996223 0.00239741 0.311243 0.0423552
voter 4 1 3000 0.995317 0.00330853 0.148336 0.0150777
voter 4 1.5 3000 0.998453 0.00182473 0.105953 0.00423864
voter 4 2 3000 0.998606 0.00273932 0.0817059 0.00334382
voter 4 2.5 3000 0.999624 0.000810246 0.065986 0.00544609
voter 4 3 3000 0.999824 0.000202927 0.0582885 0.00215188
voter 4 4 3000 0.999983 2.87005e-05 0.0491375 0.00279677
voter 4 5 3000 0.999988 2.67357e-05 0.0458134 0.00260022
voter 4 6 3000 0.999993 2.34823e-05 0.0438616 0.00219158
voter 8 0.1 3000 0.999301 0.00131503 0.832813 0.0560583
voter 8 0.5 3000 0.999894 0.000128908 0.213476 0.0263316
voter 8 1 3000 0.999925 0.000151964 0.110528 0.00957504
voter 8 1.5 3000 0.999968 7.74436e-05 0.072586 0.00542279
voter 8 2 3000 1 0 0.0573489 0.00201779
voter 8 2.5 3000 0.999998 7.82742e-06 0.0464366 0.00224661
voter 8 3 3000 0.999993 2.34823e-05 0.0412406 0.00210732
voter 8 4 3000 1 0 0.0350345 0.00145421
voter 8 5 3000 1 0 0.0323736 0.00211695
voter 8 6 3000 1 0 0.0304567 0.00136827
