# punto (d): cada fila es un punto de la figura S vs eta
# S se promedia desde t_stat (elegido a ojo) hasta el final de cada corrida
# S_err es el desvío de ese promedio entre realizaciones
modelo rho eta t_stat S S_err
vicsek 2 0 3000 1 0
vicsek 2 0.1 3000 0.999009 0.00134181
vicsek 2 0.15 3000 0.997772 0.00274385
vicsek 2 0.2 3000 0.994534 0.00534882
vicsek 2 0.25 3000 0.996089 0.00217031
vicsek 2 0.35 3000 0.993866 0.00499406
vicsek 2 0.5 3000 0.991764 0.00660698
vicsek 2 0.75 3000 0.989078 0.00558187
vicsek 2 1 3000 0.976974 0.0127157
vicsek 2 1.5 3000 0.974199 0.00678115
vicsek 2 2 3000 0.960016 0.0135767
vicsek 2 2.5 3000 0.950922 0.0109599
vicsek 2 3 3000 0.921979 0.013099
vicsek 2 3.5 3000 0.907595 0.0141115
vicsek 2 4 3000 0.910572 0.020469
vicsek 2 4.25 3000 0.938895 0.00871224
vicsek 2 4.5 3000 0.953309 0.0109251
vicsek 2 4.75 3000 0.971043 0.00616687
vicsek 2 5 3000 0.978869 0.00484286
vicsek 2 6 3000 0.992426 0.00193143
vicsek 4 0 3000 1 0
vicsek 4 0.1 3000 1 1.12777e-06
vicsek 4 0.15 3000 0.999953 0.000143924
vicsek 4 0.2 3000 0.999764 0.000529373
vicsek 4 0.25 3000 0.99987 0.000146969
vicsek 4 0.35 3000 0.999595 0.000385363
vicsek 4 0.5 3000 0.999059 0.00131381
vicsek 4 0.75 3000 0.998599 0.000723265
vicsek 4 1 3000 0.998011 0.00123834
vicsek 4 1.5 3000 0.996083 0.001976
vicsek 4 2 3000 0.993463 0.00129715
vicsek 4 2.5 3000 0.992584 0.00259712
vicsek 4 3 3000 0.989787 0.00273264
vicsek 4 3.5 3000 0.989795 0.00214697
vicsek 4 4 3000 0.986646 0.00411926
vicsek 4 4.25 3000 0.992126 0.00235608
vicsek 4 4.5 3000 0.996452 0.00201866
vicsek 4 4.75 3000 0.998811 0.000719413
vicsek 4 5 3000 0.999593 0.000258754
vicsek 4 6 3000 0.999993 1.09535e-05
vicsek 8 0 3000 1 0
vicsek 8 0.1 3000 0.99998 6.31553e-05
vicsek 8 0.15 3000 1 0
vicsek 8 0.2 3000 0.999966 8.33012e-05
vicsek 8 0.25 3000 0.999977 6.06513e-05
vicsek 8 0.35 3000 0.999953 7.86233e-05
vicsek 8 0.5 3000 0.99988 0.000178936
vicsek 8 0.75 3000 0.999936 6.31777e-05
vicsek 8 1 3000 0.999844 0.000131084
vicsek 8 1.5 3000 0.999763 0.000133267
vicsek 8 2 3000 0.999572 0.000234067
vicsek 8 2.5 3000 0.999133 0.000503096
vicsek 8 3 3000 0.999067 0.00047259
vicsek 8 3.5 3000 0.998595 0.000646704
vicsek 8 4 3000 0.998695 0.000843575
vicsek 8 4.25 3000 0.999024 0.000409204
vicsek 8 4.5 3000 0.999664 0.000161718
vicsek 8 4.75 3000 0.99979 0.000228335
vicsek 8 5 3000 0.999989 1.29966e-05
vicsek 8 6 3000 1 0
voter 2 0 3000 0.997 0.00674949
voter 2 0.1 3000 0.980684 0.00932033
voter 2 0.15 3000 0.970823 0.0169051
voter 2 0.2 3000 0.96162 0.0184482
voter 2 0.25 3000 0.960318 0.0145242
voter 2 0.35 3000 0.959041 0.0127037
voter 2 0.5 3000 0.948195 0.0101613
voter 2 0.75 3000 0.942146 0.0178255
voter 2 1 3000 0.930045 0.0193248
voter 2 1.5 3000 0.942933 0.0166974
voter 2 2 3000 0.948914 0.0203787
voter 2 2.5 3000 0.968245 0.0110545
voter 2 3 3000 0.975103 0.00598069
voter 2 3.5 3000 0.985894 0.00408145
voter 2 4 3000 0.988532 0.00488843
voter 2 4.25 3000 0.990993 0.00268567
voter 2 4.5 3000 0.989046 0.00568811
voter 2 4.75 3000 0.991538 0.00215391
voter 2 5 3000 0.991886 0.00295929
voter 2 6 3000 0.990684 0.00408398
voter 4 0 3000 1 0
voter 4 0.1 3000 0.996744 0.00216556
voter 4 0.15 3000 0.99582 0.00377087
voter 4 0.2 3000 0.996649 0.00129336
voter 4 0.25 3000 0.994878 0.00185944
voter 4 0.35 3000 0.995245 0.00206003
voter 4 0.5 3000 0.995516 0.00113481
voter 4 0.75 3000 0.994978 0.0019968
voter 4 1 3000 0.996469 0.00101163
voter 4 1.5 3000 0.998088 0.0020084
voter 4 2 3000 0.999243 0.000623765
voter 4 2.5 3000 0.999738 0.000232814
voter 4 3 3000 0.999746 0.000261423
voter 4 3.5 3000 0.999945 4.42011e-05
voter 4 4 3000 0.999982 1.54083e-05
voter 4 4.25 3000 0.999972 3.52027e-05
voter 4 4.5 3000 0.999975 3.06327e-05
voter 4 4.75 3000 0.999991 8.61351e-06
voter 4 5 3000 0.99998 2.33709e-05
voter 4 6 3000 0.999995 1.14086e-05
voter 8 0 3000 0.99975 0.000790569
voter 8 0.1 3000 0.999597 0.000487332
voter 8 0.15 3000 0.999472 0.000302016
voter 8 0.2 3000 0.999618 0.000266413
voter 8 0.25 3000 0.999541 0.00030535
voter 8 0.35 3000 0.999476 0.000447833
voter 8 0.5 3000 0.999685 0.000185162
voter 8 0.75 3000 0.999819 9.85512e-05
voter 8 1 3000 0.999938 3.96155e-05
voter 8 1.5 3000 0.999979 2.74637e-05
voter 8 2 3000 0.999999 1.46803e-06
voter 8 2.5 3000 1 1.12777e-06
voter 8 3 3000 0.999999 3.36762e-06
voter 8 3.5 3000 1 0
voter 8 4 3000 1 0
voter 8 4.25 3000 1 0
voter 8 4.5 3000 1 0
voter 8 4.75 3000 1 0
voter 8 5 3000 1 0
voter 8 6 3000 1 0
