# el escalar se promedia desde t_stat hasta el final de la corrida
modelo rho eta va va_err S S_err t_stat_va t_stat_S
voter 4 0.1 0.876416 0.0761315 0.999017 0.00244421 560 0
voter 4 0.5 none none 0.996964 0.00641936 None 0
voter 4 1 0.152551 0.0738424 0.997847 0.0043316 10 0
voter 4 1.5 0.104568 0.0496103 0.999165 0.00219813 0 0
voter 4 2 0.0808192 0.0375856 0.999536 0.00127726 0 0
voter 4 2.5 0.0658481 0.0325181 0.999862 0.000393321 0 0
voter 4 3 0.0580602 0.0273974 0.999913 0.000248638 0 0
voter 4 4 0.0494004 0.024002 0.999986 4.11471e-05 0 0
voter 4 5 0.0453959 0.0216978 0.999981 5.61097e-05 0 0
voter 4 6 0.0440355 0.0212574 0.999998 7.4813e-06 0 0
