# punto (c): cada fila es un punto de la figura va vs eta
# va se promedia desde t_stat (elegido a ojo) hasta el final de cada corrida
# va_err es el desvío de ese promedio entre realizaciones
modelo rho eta t_stat va va_err
vicsek 2 0 3000 1 0
vicsek 2 0.1 3000 0.999305 0.000109843
vicsek 2 0.15 3000 0.998394 0.00022019
vicsek 2 0.2 3000 0.997014 0.000461347
vicsek 2 0.25 3000 0.995327 0.000517346
vicsek 2 0.35 3000 0.990656 0.00154162
vicsek 2 0.5 3000 0.98196 0.00195058
vicsek 2 0.75 3000 0.960529 0.00530852
vicsek 2 1 3000 0.931997 0.00632477
vicsek 2 1.5 3000 0.860541 0.00800887
vicsek 2 2 3000 0.754185 0.0208605
vicsek 2 2.5 3000 0.631154 0.0272603
vicsek 2 3 3000 0.490684 0.0344191
vicsek 2 3.5 3000 0.339756 0.0280189
vicsek 2 4 3000 0.200229 0.0282192
vicsek 2 4.25 3000 0.141179 0.00650638
vicsek 2 4.5 3000 0.106958 0.005471
vicsek 2 4.75 3000 0.0873266 0.00225384
vicsek 2 5 3000 0.0766713 0.00172052
vicsek 2 6 3000 0.0629951 0.00150667
vicsek 4 0 3000 1 0
vicsek 4 0.1 3000 0.999464 2.5953e-05
vicsek 4 0.15 3000 0.998795 4.63092e-05
vicsek 4 0.2 3000 0.997853 0.000100716
vicsek 4 0.25 3000 0.9966 0.000208534
vicsek 4 0.35 3000 0.993272 0.000404267
vicsek 4 0.5 3000 0.986325 0.000757993
vicsek 4 0.75 3000 0.968882 0.0014003
vicsek 4 1 3000 0.946417 0.00180684
vicsek 4 1.5 3000 0.882899 0.00535853
vicsek 4 2 3000 0.798661 0.00532693
vicsek 4 2.5 3000 0.686935 0.0126208
vicsek 4 3 3000 0.56818 0.00967918
vicsek 4 3.5 3000 0.420444 0.00928152
vicsek 4 4 3000 0.289922 0.0197235
vicsek 4 4.25 3000 0.206246 0.0202738
vicsek 4 4.5 3000 0.140658 0.0158466
vicsek 4 4.75 3000 0.0926327 0.00551059
vicsek 4 5 3000 0.0678077 0.00236141
vicsek 4 6 3000 0.0443528 0.000727576
vicsek 8 0 3000 1 0
vicsek 8 0.1 3000 0.999531 1.13588e-05
vicsek 8 0.15 3000 0.998946 2.34555e-05
vicsek 8 0.2 3000 0.998125 4.13079e-05
vicsek 8 0.25 3000 0.997072 6.50037e-05
vicsek 8 0.35 3000 0.994244 0.000122855
vicsek 8 0.5 3000 0.988179 0.000218565
vicsek 8 0.75 3000 0.97329 0.000453178
vicsek 8 1 3000 0.952898 0.000669245
vicsek 8 1.5 3000 0.895276 0.00126343
vicsek 8 2 3000 0.81883 0.0017395
vicsek 8 2.5 3000 0.725471 0.00171377
vicsek 8 3 3000 0.615529 0.00366669
vicsek 8 3.5 3000 0.498294 0.0100478
vicsek 8 4 3000 0.365233 0.00952732
vicsek 8 4.25 3000 0.291583 0.0105225
vicsek 8 4.5 3000 0.207833 0.0114593
vicsek 8 4.75 3000 0.138759 0.0114365
vicsek 8 5 3000 0.0788219 0.00337529
vicsek 8 6 3000 0.0320174 0.000620988
voter 2 0 3000 1 0
voter 2 0.1 3000 0.91164 0.0320315
voter 2 0.15 3000 0.843472 0.0314569
voter 2 0.2 3000 0.742962 0.0414115
voter 2 0.25 3000 0.649449 0.0342887
voter 2 0.35 3000 0.528084 0.0244399
voter 2 0.5 3000 0.386123 0.0242603
voter 2 0.75 3000 0.268373 0.00800019
voter 2 1 3000 0.208671 0.00797823
voter 2 1.5 3000 0.1451 0.00213825
voter 2 2 3000 0.110783 0.00242227
voter 2 2.5 3000 0.0925631 0.00185258
voter 2 3 3000 0.0815028 0.00221856
voter 2 3.5 3000 0.0743278 0.00062812
voter 2 4 3000 0.0692712 0.00133681
voter 2 4.25 3000 0.0677242 0.0018983
voter 2 4.5 3000 0.0661755 0.00129132
voter 2 4.75 3000 0.0652525 0.00111549
voter 2 5 3000 0.0636099 0.000823541
voter 2 6 3000 0.0628763 0.000979967
voter 4 0 3000 1 0
voter 4 0.1 3000 0.87695 0.0285274
voter 4 0.15 3000 0.767481 0.0399232
voter 4 0.2 3000 0.657459 0.0454951
voter 4 0.25 3000 0.551455 0.0241075
voter 4 0.35 3000 0.414899 0.0213667
voter 4 0.5 3000 0.306679 0.00869413
voter 4 0.75 3000 0.206093 0.00969185
voter 4 1 3000 0.156195 0.00574382
voter 4 1.5 3000 0.105824 0.00148984
voter 4 2 3000 0.0812023 0.00177669
voter 4 2.5 3000 0.0667014 0.00190082
voter 4 3 3000 0.0584244 0.000915321
voter 4 3.5 3000 0.0531913 0.000622564
voter 4 4 3000 0.0495073 0.000737443
voter 4 4.25 3000 0.0475335 0.000637504
voter 4 4.5 3000 0.0474297 0.000968734
voter 4 4.75 3000 0.0463016 0.00069132
voter 4 5 3000 0.0455009 0.000877543
voter 4 6 3000 0.0450633 0.000851772
voter 8 0 3000 0.999991 2.80089e-05
voter 8 0.1 3000 0.789406 0.0369548
voter 8 0.15 3000 0.608067 0.043909
voter 8 0.2 3000 0.511993 0.0339028
voter 8 0.25 3000 0.42476 0.0204906
voter 8 0.35 3000 0.324045 0.0276569
voter 8 0.5 3000 0.228064 0.0105883
voter 8 0.75 3000 0.151468 0.00508599
voter 8 1 3000 0.111769 0.00296294
voter 8 1.5 3000 0.0739567 0.00117482
voter 8 2 3000 0.0575798 0.00098817
voter 8 2.5 3000 0.0477041 0.000763807
voter 8 3 3000 0.0416801 0.000731188
voter 8 3.5 3000 0.0376981 0.000877941
voter 8 4 3000 0.035004 0.000736111
voter 8 4.25 3000 0.0340634 0.000532653
voter 8 4.5 3000 0.0331554 0.000668087
voter 8 4.75 3000 0.0325883 0.000462251
voter 8 5 3000 0.0322304 0.000708663
voter 8 6 3000 0.0309571 0.000704008
