# punto (e): cada fila es un punto de la figura va vs S
# los escalares se promedian desde t_stat (elegido a ojo) hasta el final de la corrida
# el error es el desvío entre realizaciones promediado en esa misma ventana
modelo rho eta t_stat S S_err va va_err
vicsek 2 0 3000 1 0 1 0
vicsek 2 0.1 3000 0.999009 0.00134181 0.999305 0.000109843
vicsek 2 0.15 3000 0.997772 0.00274385 0.998394 0.00022019
vicsek 2 0.2 3000 0.994534 0.00534882 0.997014 0.000461347
vicsek 2 0.25 3000 0.996089 0.00217031 0.995327 0.000517346
vicsek 2 0.35 3000 0.993866 0.00499406 0.990656 0.00154162
vicsek 2 0.5 3000 0.991764 0.00660698 0.98196 0.00195058
vicsek 2 0.75 3000 0.989078 0.00558187 0.960529 0.00530852
vicsek 2 1 3000 0.976974 0.0127157 0.931997 0.00632477
vicsek 2 1.5 3000 0.974199 0.00678115 0.860541 0.00800887
vicsek 2 2 3000 0.960016 0.0135767 0.754185 0.0208605
vicsek 2 2.5 3000 0.950922 0.0109599 0.631154 0.0272603
vicsek 2 3 3000 0.921979 0.013099 0.490684 0.0344191
vicsek 2 3.5 3000 0.907595 0.0141115 0.339756 0.0280189
vicsek 2 4 3000 0.910572 0.020469 0.200229 0.0282192
vicsek 2 4.25 3000 0.938895 0.00871224 0.141179 0.00650638
vicsek 2 4.5 3000 0.953309 0.0109251 0.106958 0.005471
vicsek 2 4.75 3000 0.971043 0.00616687 0.0873266 0.00225384
vicsek 2 5 3000 0.978869 0.00484286 0.0766713 0.00172052
vicsek 2 6 3000 0.992426 0.00193143 0.0629951 0.00150667
vicsek 4 0 3000 1 0 1 0
vicsek 4 0.1 3000 1 1.12777e-06 0.999464 2.5953e-05
vicsek 4 0.15 3000 0.999953 0.000143924 0.998795 4.63092e-05
vicsek 4 0.2 3000 0.999764 0.000529373 0.997853 0.000100716
vicsek 4 0.25 3000 0.99987 0.000146969 0.9966 0.000208534
vicsek 4 0.35 3000 0.999595 0.000385363 0.993272 0.000404267
vicsek 4 0.5 3000 0.999059 0.00131381 0.986325 0.000757993
vicsek 4 0.75 3000 0.998599 0.000723265 0.968882 0.0014003
vicsek 4 1 3000 0.998011 0.00123834 0.946417 0.00180684
vicsek 4 1.5 3000 0.996083 0.001976 0.882899 0.00535853
vicsek 4 2 3000 0.993463 0.00129715 0.798661 0.00532693
vicsek 4 2.5 3000 0.992584 0.00259712 0.686935 0.0126208
vicsek 4 3 3000 0.989787 0.00273264 0.56818 0.00967918
vicsek 4 3.5 3000 0.989795 0.00214697 0.420444 0.00928152
vicsek 4 4 3000 0.986646 0.00411926 0.289922 0.0197235
vicsek 4 4.25 3000 0.992126 0.00235608 0.206246 0.0202738
vicsek 4 4.5 3000 0.996452 0.00201866 0.140658 0.0158466
vicsek 4 4.75 3000 0.998811 0.000719413 0.0926327 0.00551059
vicsek 4 5 3000 0.999593 0.000258754 0.0678077 0.00236141
vicsek 4 6 3000 0.999993 1.09535e-05 0.0443528 0.000727576
vicsek 8 0 3000 1 0 1 0
vicsek 8 0.1 3000 0.99998 6.31553e-05 0.999531 1.13588e-05
vicsek 8 0.15 3000 1 0 0.998946 2.34555e-05
vicsek 8 0.2 3000 0.999966 8.33012e-05 0.998125 4.13079e-05
vicsek 8 0.25 3000 0.999977 6.06513e-05 0.997072 6.50037e-05
vicsek 8 0.35 3000 0.999953 7.86233e-05 0.994244 0.000122855
vicsek 8 0.5 3000 0.99988 0.000178936 0.988179 0.000218565
vicsek 8 0.75 3000 0.999936 6.31777e-05 0.97329 0.000453178
vicsek 8 1 3000 0.999844 0.000131084 0.952898 0.000669245
vicsek 8 1.5 3000 0.999763 0.000133267 0.895276 0.00126343
vicsek 8 2 3000 0.999572 0.000234067 0.81883 0.0017395
vicsek 8 2.5 3000 0.999133 0.000503096 0.725471 0.00171377
vicsek 8 3 3000 0.999067 0.00047259 0.615529 0.00366669
vicsek 8 3.5 3000 0.998595 0.000646704 0.498294 0.0100478
vicsek 8 4 3000 0.998695 0.000843575 0.365233 0.00952732
vicsek 8 4.25 3000 0.999024 0.000409204 0.291583 0.0105225
vicsek 8 4.5 3000 0.999664 0.000161718 0.207833 0.0114593
vicsek 8 4.75 3000 0.99979 0.000228335 0.138759 0.0114365
vicsek 8 5 3000 0.999989 1.29966e-05 0.0788219 0.00337529
vicsek 8 6 3000 1 0 0.0320174 0.000620988
voter 2 0 3000 0.997 0.00674949 1 0
voter 2 0.1 3000 0.980684 0.00932033 0.91164 0.0320315
voter 2 0.15 3000 0.970823 0.0169051 0.843472 0.0314569
voter 2 0.2 3000 0.96162 0.0184482 0.742962 0.0414115
voter 2 0.25 3000 0.960318 0.0145242 0.649449 0.0342887
voter 2 0.35 3000 0.959041 0.0127037 0.528084 0.0244399
voter 2 0.5 3000 0.948195 0.0101613 0.386123 0.0242603
voter 2 0.75 3000 0.942146 0.0178255 0.268373 0.00800019
voter 2 1 3000 0.930045 0.0193248 0.208671 0.00797823
voter 2 1.5 3000 0.942933 0.0166974 0.1451 0.00213825
voter 2 2 3000 0.948914 0.0203787 0.110783 0.00242227
voter 2 2.5 3000 0.968245 0.0110545 0.0925631 0.00185258
voter 2 3 3000 0.975103 0.00598069 0.0815028 0.00221856
voter 2 3.5 3000 0.985894 0.00408145 0.0743278 0.00062812
voter 2 4 3000 0.988532 0.00488843 0.0692712 0.00133681
voter 2 4.25 3000 0.990993 0.00268567 0.0677242 0.0018983
voter 2 4.5 3000 0.989046 0.00568811 0.0661755 0.00129132
voter 2 4.75 3000 0.991538 0.00215391 0.0652525 0.00111549
voter 2 5 3000 0.991886 0.00295929 0.0636099 0.000823541
voter 2 6 3000 0.990684 0.00408398 0.0628763 0.000979967
voter 4 0 3000 1 0 1 0
voter 4 0.1 3000 0.996744 0.00216556 0.87695 0.0285274
voter 4 0.15 3000 0.99582 0.00377087 0.767481 0.0399232
voter 4 0.2 3000 0.996649 0.00129336 0.657459 0.0454951
voter 4 0.25 3000 0.994878 0.00185944 0.551455 0.0241075
voter 4 0.35 3000 0.995245 0.00206003 0.414899 0.0213667
voter 4 0.5 3000 0.995516 0.00113481 0.306679 0.00869413
voter 4 0.75 3000 0.994978 0.0019968 0.206093 0.00969185
voter 4 1 3000 0.996469 0.00101163 0.156195 0.00574382
